"essai"; ; ;"0/-/-"
 ;"Nouveau groupe médian"; ;"0/0/-"
 ; ;"BP 1";"0/0/1"
 ; ;"BP2";"0/0/2"
 ;"gira"; ;"0/1/-"
 ; ;"rocker1";"0/1/0"
 ; ;"rocker1 (2)";"0/1/1"
 ; ;"rocker1 (3)";"0/1/2"
"electromenager"; ; ;"2/-/-"
 ;"Nouveau groupe médian"; ;"2/0/-"
 ; ;"Lave vaisselle+cumulus";"2/0/0"
 ; ;"LV";"2/0/1"
 ; ;"retour lave vaisselle";"2/0/201"
"chauffage"; ; ;"3/-/-"
 ;"Nouveau groupe médian"; ;"3/0/-"
 ; ;"consigne gen";"3/0/0"
 ; ;"confort gen";"3/0/1"
 ; ;"reduit géneral";"3/0/2"
 ; ;"Nouveau sous-groupe";"3/0/3"
 ; ;"chauffage sejour";"3/0/4"
 ; ;"temperature sejour";"3/0/5"
 ; ;"temp sejour non corrigée";"3/0/6"
 ; ;"consigne";"3/0/7"
 ; ;"symbole heating";"3/0/8"
 ; ;"consigne chauffage";"3/0/9"
 ; ;"New Group Address";"3/0/10"
 ; ;"status";"3/0/11"
 ; ;"time";"3/0/100"
 ; ;"date";"3/0/101"
"eclairage"; ; ;"6/-/-"
 ;"Nouveau groupe médian"; ;"6/0/-"
 ; ;"abri jardin";"6/0/0"
 ; ;"ecl bureau";"6/0/1"
 ; ;"hall";"6/0/2"
 ; ;"chambre quentin";"6/0/3"
 ; ;"sejour + cuisine";"6/0/4"
 ; ;"SdB";"6/0/5"
 ; ;"chambre Théo";"6/0/6"
 ; ;"cuisine";"6/0/7"
 ; ;"WC";"6/0/8"
 ; ;"salon";"6/0/9"
 ; ;"ecl armoire bureau";"6/0/10"
 ; ;"scénario télé";"6/0/11"
 ; ;"blocage detecteur coloir étage";"6/0/12"
 ; ;"cave";"6/0/13"
 ; ;"grenier";"6/0/14"
 ; ;"SAM";"6/0/15"
 ; ;"scenario apero";"6/0/16"
 ; ;"arret gen ecl sauf salon SAM cuisine";"6/0/17"
 ; ;"retour atelier";"6/0/18"
 ; ;"hall RdC";"6/0/19"
 ; ;"eclairage grenier";"6/0/20"
 ; ;"spot chloe";"6/0/21"
 ; ;"proj arrière+porche";"6/0/22"
